Word,Synonym
idam,this
bhāgavatam,the glories of the Lord or the science of the Lord
purāṇam,Vedic supplement
daśa-lakṣaṇam,ten characteristics
proktam,described
bhagavatā,by the Personality of Godhead
prāha,said
prītaḥ,in satisfaction
putrāya,unto the son
bhūta-kṛt,the creator of the universe.
nāradaḥ,the great sage Nārada
prāha,instructed
munaye,unto the great sage
sarasvatyāḥ,of the river Sarasvatī
taṭe,on the bank
nṛpa,O King
dhyāyate,unto the meditative
brahma,Absolute Truth
paramam,the Supreme
vyāsāya,unto Śrīla Vyāsadeva
amita,unlimited
tejase,unto the powerful.
yat,what
uta,"is, however"
aham,I
tvayā,by you
pṛṣṭaḥ,I am asked
vairājāt,from the universal form
puruṣāt,from the Personality of Godhead
idam,this world
yathā,as it
āsīt,was
tat,that
upākhyāste,I shall explain
praśnān,all the questions
anyān,others
ca,as well as
kṛtsnaśaḥ,in great detail.
śrī-śukaḥuvāca,Śrī Śukadeva Gosvāmī said
atra,in thisŚrīmad-Bhāgavatam
sargaḥ,statement of the creation of the universe
visargaḥ,statement of subcreation
ca,also
sthānam,the planetary systems
poṣaṇam,protection
ūtayaḥ,the creative impetus
manvantara,changes of Manus
īśa-anukathāḥ,the science of God
nirodhaḥ,"going back home, back to Godhead"
muktiḥ,liberation
āśrayaḥ,thesummum bonum.
daśamasya,of thesummum bonum
viśuddhi,isolation
artham,purpose
navānām,of the other nine
iha,in thisŚrīmad-Bhāgavatam
lakṣaṇam,symptoms
varṇayanti,they describe
mahā-ātmānaḥ,the great sages
śrutena,by Vedic evidences
arthena,by direct explanation
ca,and
añjasā,summarily.
bhūta,"the five gross elements (the sky, etc.)"
mātrā,objects perceived by the senses
indriya,the senses
dhiyām,of the mind
janma,creation
sargaḥ,manifestation
udāhṛtaḥ,is called the creation
brahmaṇaḥ,"of Brahmā, the firstpuruṣa"
guṇa-vaiṣamyāt,by interaction of the three modes of nature
visargaḥ,re-creation
pauruṣaḥ,resultant activities
smṛtaḥ,it is so known.
sthitiḥ,the right situation
vaikuṇṭha-vijayaḥ,the victory of the Lord of Vaikuṇṭha
poṣaṇam,maintenance
tat-anugrahaḥ,His causeless mercy
manvantarāṇi,the reign of the Manus
sat-dharmaḥ,perfect occupational duty
ūtayaḥ,impetus to work
karma-vāsanāḥ,desire for fruitive work.
avatāra,incarnation of Godhead
anucaritam,activities
hareḥ,of the Personality of Godhead
ca,also
asya,of His
anuvartinām,followers
puṁsām,of the persons
īśa-kathāḥ,the science of God
proktāḥ,is said
nānā,various
ākhyāna,narrations
upabṛṁhitāḥ,described.
nirodhaḥ,the winding up of the cosmic manifestation
asya,of His
anuśayanam,the lying down of thepuruṣaincarnation Mahā-Viṣṇu in mystic slumber
ātmanaḥ,of the living entities
saha,along with
śaktibhiḥ,with the energies
muktiḥ,liberation
hitvā,giving up
anyathā,otherwise
rūpam,form
sva-rūpeṇa,in constitutional form
vyavasthitiḥ,permanent situation.
ābhāsaḥ,the cosmic manifestation
ca,and
nirodhaḥ,and its winding up
ca,also
yataḥ,from the source
asti,is
adhyavasīyate,become manifested
saḥ,He
āśrayaḥ,reservoir
param,the Supreme
brahma,Being
paramātmā,the Supersoul
iti,thus
śabdyate,called.
yaḥ,one who
adhyātmikaḥ,is possessed of the sense organs
ayam,this
puruṣaḥ,personality
saḥ,he
asau,that
eva,also
adhidaivikaḥ,controlling deity
yaḥ,that which
tatra,there
ubhaya,of both
vicchedaḥ,separation
puruṣaḥ,person
hi,for
ādhibhautikaḥ,the visible body or the embodied living entity.
ekam,one
ekatara,another
abhāve,in the absence of
yadā,because
na,does not
upalabhāmahe,perceptible
tritayam,in three stages
tatra,there
yaḥ,the one
veda,who knows
saḥ,he
ātmā,the Supersoul
sva,own
āśraya,shelter
āśrayaḥ,of the shelter.
puruṣaḥ,"the Supreme Person, Paramātmā"
aṇḍam,the universes
vinirbhidya,making them each separately situated
yadā,when
asau,the same
saḥ,He (the Lord)
vinirgataḥ,came out
ātmanaḥ,of Himself
ayanam,lying in place
anvicchan,desiring
apaḥ,water
asrākṣīt,created
śuciḥ,the most pure
śucīḥ,transcendental.
tāsu,in that
avātsīt,resided
sva,own
sṛṣṭāsu,in the matter of creation
sahasram,one thousand
parivatsarān,years of His measurement
tena,for that reason
nārāyaṇaḥ,the Personality of Godhead named Nārāyaṇa
nāma,name
yat,because
āpaḥ,water
puruṣa-udbhavāḥ,emanated from the Supreme Person.
dravyam,physical elements
karma,action
ca,and
kālaḥ,time
ca,also
sva-bhāvaḥjīvaḥ,the living entities
eva,certainly
ca,also
yat,whose
anugrahataḥ,by the mercy of
santi,exist
na,does not
santi,exist
yat-upekṣayā,by negligence.
ekaḥ,"He, one alone"
nānātvam,varieties
anvicchan,so desiring
yoga-talpāt,from the bedstead of mystic slumber
samutthitaḥ,thus generated
vīryam,the semen
hiraṇmayam,golden hue
devaḥ,the demigod
māyayā,by the external energy
vyasṛjat,perfectly created
tridhā,in three features.
adhidaivam,the controlling entities
atha,now
adhyātmam,the controlled entities
adhibhūtam,the material bodies
iti,thus
prabhuḥ,the Lord
atha,in this way
ekam,one only
pauruṣam,of His Lordship
vīryam,potency
tridhā,in three
abhidyata,divided
tat,that
śṛṇu,just hear from me.
antaḥśarīre,within the body
ākāśāt,from the sky
puruṣasya,of Mahā-Viṣṇu
viceṣṭataḥ,"while so trying, or willing"
ojaḥ,the energy of the senses
sahaḥ,mental force
balam,bodily strength
jajñe,generated
tataḥ,thereafter
prāṇaḥ,the living force
mahānasuḥ,the fountainhead of everyone’s life.
anuprāṇanti,follow the living symptoms
yam,whom
prāṇāḥ,senses
prāṇantam,endeavoring
sarva-jantuṣu,in all living entities
apānantam,stop endeavoring
apānanti,all others stop
nara-devam,a king
iva,like
anugāḥ,the followers.
prāṇena,by the living force
ākṣipatā,being agitated
kṣut,hunger
tṛṭ,thirst
antarā,from within
jāyate,generates
vibhoḥ,of the Supreme
pipāsataḥ,being desirous to quench the thirst
jakṣataḥ,being desirous to eat
ca,and
prāk,at first
mukham,the mouth
nirabhidyata,was opened.
mukhataḥ,from the mouth
tālu,the palate
nirbhinnam,being generated
jihvā,the tongue
tatra,thereupon
upajāyate,becomes manifested
tataḥ,thereupon
nānā-rasaḥ,various tastes
jajñe,became manifested
jihvayā,by the tongue
yaḥ,which
adhigamyate,become relished.
vivakṣoḥ,when there was a need to speak
mukhataḥ,from the mouth
bhūmnaḥ,of the Supreme
vahniḥ,fire or the controlling deity of fire
vāk,vibration
vyāhṛtam,speeches
tayoḥ,by both
jale,in the water
ca,however
etasya,of all these
suciram,"a very, very long time"
nirodhaḥ,suspension
samajāyata,did continue.
nāsike,in the nostrils
nirabhidyetām,being developed
dodhūyati,rapidly blowing
nabhasvati,air respiration
tatra,thereupon
vāyuḥ,air
gandha-vahaḥ,smelling odor
ghrāṇaḥ,sense of smell
nasi,in the nose
jighṛkṣataḥ,desiring to smell odors.
yadā,while
ātmani,unto Himself
nirālokam,without any light
ātmānam,His own transcendental body
ca,also other bodily forms
didṛkṣataḥ,desired to look upon
nirbhinne,due to being sprouted
hi,for
akṣiṇī,of the eyes
tasya,of Him
jyotiḥ,the sun
cakṣuḥ,the eyes
guṇa-grahaḥ,the power of seeing.
bodhyamānasya,desiring to understand
ṛṣibhiḥ,by the authorities
ātmanaḥ,of the Supreme Being
tat,that
jighṛkṣataḥ,when He desired to take up
karṇau,the ears
ca,also
nirabhidyetām,became manifested
diśaḥ,the direction or the god of air
śrotram,the power of hearing
guṇa-grahaḥ,and the objects of hearing.
vastunaḥ,of all matter
mṛdu,softness
kāṭhinya,hardness
laghu,lightness
guru,heaviness
oṣṇa,warmness
śītatām,coldness
jighṛkṣataḥ,desiring to perceive
tvak,the touch sensation
nirbhinnā,distributed
tasyām,in the skin
roma,hairs on the body
mahī-ruhāḥ,"as well as the trees, the controlling deities"
tatra,there
ca,also
antaḥ,within
bahiḥ,outside
vātaḥtvacā,the sense of touch or the skin
labdha,having been perceived
guṇaḥ,objects of sense perception
vṛtaḥ,generated.
hastau,the hands
ruruhatuḥ,manifested
tasya,His
nānā,various
karma,work
cikīrṣayā,being so desirous
tayoḥ,of them
tu,however
balavān,to give strength
indraḥ,the demigod in heaven
ādānam,activities of the hand
ubhaya-āśrayam,dependent on both the demigod and the hand.
gatim,movement
jigīṣataḥ,so desiring
pādau,the legs
ruruhāte,being manifested
abhikāmikām,purposeful
padbhyām,from the legs
yajñaḥ,Lord Viṣṇu
svayam,personally Himself
havyam,the duties
karmabhiḥ,by one’s occupational duty
kriyate,caused to be done
nṛbhiḥ,by different human beings.
nirabhidyata,came out
śiśnaḥ,the genitals
vai,certainly
prajā-ānanda,sex pleasure
amṛta-arthinaḥ,aspiring to taste the nectar
upasthaḥ,the male or female organ
āsīt,came into existence
kāmānām,of the lustful
priyam,very dear
tat,that
ubhaya-āśrayam,shelter for both.
utsisṛkṣoḥ,desiring to evacuate
dhātu-malam,refuse of eatables
nirabhidyata,became open
vai,certainly
gudam,the evacuating hole
tataḥ,thereafter
pāyuḥ,the evacuating sense organ
tataḥ,thereafter
mitraḥ,the controlling demigod
utsargaḥ,the substance evacuated
ubhaya,both
āśrayaḥ,shelter.
āsisṛpsoḥ,desiring to go everywhere
puraḥ,in different bodies
puryāḥ,from one body
nābhi-dvāram,the navel or abdominal hole
apānataḥ,was manifested
tatra,thereupon
apānaḥ,stopping of the vital force
tataḥ,thereafter
mṛtyuḥ,death
pṛthaktvam,separately
ubhaya,both
āśrayam,shelter.
āditsoḥ,desiring to have
anna-pānānām,of food and drink
āsan,there became
kukṣi,the abdomen
antra,the intestines
nāḍayaḥ,and the arteries
nadyaḥ,the rivers
samudrāḥ,seas
ca,also
tayoḥ,of them
tuṣṭiḥ,sustenance
puṣṭiḥ,metabolism
tat,of them
āśraye,the source.
nididhyāsoḥ,being desirous to know
ātma-māyām,own energy
hṛdayam,the location of the mind
nirabhidyata,was manifested
tataḥ,thereafter
manaḥ,the mind
candraḥ,"the controlling deity of the mind, the moon"
iti,thus
saṅkalpaḥ,determination
kāmaḥ,desire
eva,as much as
ca,also.
tvak,the thin layer on the skin
carma,skin
māṁsa,flesh
rudhira,blood
medaḥ,fat
majjā,marrow
asthi,bone
dhātavaḥ,elements
bhūmi,earth
ap,water
tejaḥ,fire
mayāḥ,predominating
sapta,seven
prāṇaḥ,breathing air
vyoma,sky
ambu,water
vāyubhiḥ,by the air.
guṇa-ātmakāni,attached to the qualities
indriyāṇi,the senses
bhūta-ādi,material ego
prabhavāḥ,influenced by
guṇāḥ,the modes of material nature
manaḥ,the mind
sarva,all
vikāra,affection (happiness and distress)
ātmā,form
buddhiḥ,intelligence
vijñāna,deliberation
rūpiṇī,featuring.
etat,all these
bhagavataḥ,of the Personality of Godhead
rūpam,form
sthūlam,gross
te,unto you
vyāhṛtam,explained
mayā,by me
mahī,the planets
ādibhiḥ,and so on
ca,unlimitedly
avaraṇaiḥ,by coverings
aṣṭabhiḥ,by eight
bahiḥ,external
āvṛtam,covered.
ataḥ,therefore
param,transcendental
sūkṣmatamam,finer than the finest
avyaktam,unmanifested
nirviśeṣaṇam,without material features
anādi,without beginning
madhya,without an intermediate stage
nidhanam,without end
nityam,eternal
vāk,words
manasaḥ,of the mind
param,transcendental.
amunī,all these
bhagavat,unto the Supreme Personality of Godhead
rūpe,in the forms
mayā,by me
te,unto you
hi,certainly
anuvarṇite,described respectively
ubhe,both
api,also
na,never
gṛhṇanti,accepts
māyā,external
sṛṣṭe,being so manifested
vipaḥ-citaḥ,the learned one who knows.
saḥ,He
vācya,by His forms and activities
vācakatayā,by His transcendental qualities and entourage
bhagavān,the Personality of Godhead
brahma,absolute
rūpa-dhṛk,by accepting visible forms
nāma,name
rūpa,form
kriyā,pastimes
dhatte,accepts
sa-karma,engaged in work
akarmakaḥ,without being affected
paraḥ,transcendence.
śrī-śukaḥuvāca,Śrī Śukadeva Gosvāmī said
evam,thus
etat,this
purā,formerly
pṛṣṭaḥ,being asked
maitreyaḥ,the great sage Maitreya
bhagavān,His Grace
kila,certainly
kṣattrā,by Vidura
vanam,forest
praviṣṭena,entering
tyaktvā,renouncing
sva-gṛham,own house
ṛddhimat,prosperous.
yat,the house
vai,what else is there to say
ayam,Śrī Kṛṣṇa
mantra-kṛt,minister
vaḥ,you people
bhagavān,the Personality of Godhead
akhila-īśvaraḥ,the Lord of everything
pauravendra,Duryodhana
gṛham,house
hitvā,giving up
praviveśa,entered
ātmasāt,identify with oneself
kṛtam,so accepted.
rājāuvāca,the King said
kutra,wherein
kṣattuḥ,with Vidura
bhagavatā,and with His Grace
maitreyeṇa,with Maitreya
āsa,there was
saṅgamaḥ,meeting
kadā,when
vā,also
saha,with
saṁvādaḥ,discussion
etat,this
varṇaya,describe
naḥ,unto me
prabho,O my lord.
na,never
hi,certainly
alpa-artha,small (unimportant) purpose
udayaḥ,raised
tasya,his
vidurasya,of Vidura
amala-ātmanaḥ,of the saintly man
tasmin,in that
varīyasi,highly purposeful
praśnaḥ,question
sādhu-vāda,things approved by saints and sages
upabṛṁhitaḥ,full with.
sūtaḥuvāca,Śrī Sūta Gosvāmī said
saḥ,he
evam,thus
ṛṣi-varyaḥ,the greatṛṣi
ayam,Śukadeva Gosvāmī
pṛṣṭaḥ,being questioned
rājñā,by the King
parīkṣitā,Mahārāja Parīkṣit
pratyāha,he replied
tam,unto the King
su-bahu-vit,highly experienced
prīta-ātmā,fully satisfied
śrūyatām,please hear me
iti,thus.
śrī-śukaḥuvāca,Śrī Śukadeva Gosvāmī said
yadā,when
tu,but
rājā,King Dhṛtarāṣṭra
sva-sutān,his own sons
asādhūn,dishonest
puṣṇan,nourishing
na,never
dharmeṇa,on the right path
vinaṣṭa-dṛṣṭiḥ,one who has lost his insight
bhrātuḥ,of his brother
yaviṣṭhasya,younger
sutān,sons
vibandhūn,having no guardian (father)
praveśya,made to enter
lākṣā,lacquer
bhavane,in the house
dadāha,set on fire.
yadā,when
sabhāyām,the assembly
kuru-deva-devyāḥ,"of Draupadī, the wife of godly Yudhiṣṭhira"
keśa-abhimarśam,insult by grabbing her hair
suta-karma,action taken by his son
garhyam,which was abominable
na,did not
vārayāmāsa,forbid
nṛpaḥ,the King
snuṣāyāḥ,of his nephew’s wife
svāsraiḥ,by her tears
harantyāḥ,of she who was washing
kuca-kuṅkumāni,red dust on her breast.
dyūte,by means of gambling
tu,but
adharmeṇa,by unfair tricks
jitasya,of the vanquished
sādhoḥ,a saintly person
satya-avalambasya,one who embraced truth as shelter
vanam,forest
gatasya,of the goer
na,never
yācataḥ,when asked for
adāt,delivered
samayena,in due course
dāyam,right share
tamaḥ-juṣāṇaḥ,overwhelmed by illusion
yat,as much as
ajāta-śatroḥ,of one who had no enemy.
yadā,when
ca,also
pārtha-prahitaḥ,being advised by Arjuna
sabhāyām,in the assembly
jagat-guruḥ,the teacher of the world
yāni,those
jagāda,went
kṛṣṇaḥ,Lord Kṛṣṇa
na,never
tāni,such words
puṁsām,of all men of sense
amṛta-ayanāni,as good as nectar
rājā,the King (Dhṛtarāṣṭra or Duryodhana)
uru,very important
mene,did consider
kṣata,dwindling
puṇya-leśaḥ,fragment of pious acts.
yadā,when
upahūtaḥ,was called by
bhavanam,the palace
praviṣṭaḥ,entered
mantrāya,for consultation
pṛṣṭaḥ,asked by
kila,of course
pūrvajena,by the elder brother
atha,thus
āha,said
tat,that
mantra,advice
dṛśām,just suitable
varīyān,excellent
yat,that which
mantriṇaḥ,"the ministers of state, or expert politicians"
vaidurikam,instructions by Vidura
vadanti,do they say.
ajāta-śatroḥ,"of Yudhiṣṭhira, who has no enemy"
pratiyaccha,return
dāyam,legitimate share
titikṣataḥ,of he who is so forbearing
durviṣaham,unbearable
tava,your
āgaḥ,offense
saha,along with
anujaḥ,younger brothers
yatra,wherein
vṛkodara,Bhīma
ahiḥ,revenging snake
śvasan,breathing heavily
ruṣā,in anger
yat,whom
tvam,you
alam,verily
bibheṣi,do fear.
pārthān,the sons of Pṛthā (Kuntī)
tu,but
devaḥ,the Lord
bhagavān,the Personality of Godhead
mukundaḥ,"Śrī Kṛṣṇa, who awards liberation"
gṛhītavān,has taken up
sa,with
kṣiti-deva-devaḥ,thebrāhmaṇasand the demigods
āste,is present
sva-puryām,along with His family
yadu-deva-devaḥ,worshiped by the royal order of the Yadu dynasty
vinirjita,who have been conquered
aśeṣa,unlimited
nṛdeva,kings
devaḥ,Lord.
saḥ,he
eṣaḥ,this
doṣaḥ,offense personified
puruṣa-dviṭ,envious of Lord Kṛṣṇa
āste,exists
gṛhān,household
praviṣṭaḥ,entered
yam,whom
apatya-matyā,thinking to be your son
puṣṇāsi,maintaining
kṛṣṇāt,from Kṛṣṇa
vimukhaḥ,in opposition
gata-śrīḥ,devoid of everything auspicious
tyaja,give up
āśu,as soon as possible
aśaivam,inauspicious
kula,family
kauśalāya,for the sake of.
iti,thus
ūcivān,while speaking
tatra,there
suyodhanena,by Duryodhana
pravṛddha,swollen with
kopa,anger
sphurita,flapping
adhareṇa,lips
asat-kṛtaḥ,insulted
sat,respectable
spṛhaṇīya-śīlaḥ,desirable qualities
kṣattā,Vidura
sa,with
karṇa,Karṇa
anuja,younger brothers
saubalena,with Śakuni.
kaḥ,who
enam,this
atra,here
upajuhāva,called for
jihmam,crooked
dāsyāḥ,of a kept mistress
sutam,son
yat,whose
balinā,by whose subsistence
eva,certainly
puṣṭaḥ,grown up
tasmin,unto him
pratīpaḥ,enmity
para-kṛtya,enemy’s interest
āste,situated
nirvāsyatām,get him out
āśu,immediately
purāt,from the palace
śvasānaḥ,let him breathe only.
svayam,he himself
dhanuḥdvāri,bow on the door
nidhāya,keeping
māyām,the external nature
bhrātuḥ,brother’s
puraḥ,from the palace
marmasu,in the core of the heart
tāḍitaḥ,being afflicted
api,in spite of
saḥ,he (Vidura)
ittham,like this
ati-ulbaṇa,severely
karṇa,ear
bāṇaiḥ,by the arrows
gata-vyathaḥ,without being sorry
ayāt,exited
uru,great
māna-yānaḥ,so thinking.
saḥ,he (Vidura)
nirgataḥ,after having quit
kaurava,the Kuru dynasty
puṇya,piety
labdhaḥ,so achieved
gaja-āhvayāt,from Hastināpura
tīrtha-padaḥ,of the Supreme Lord
padāni,pilgrimages
anvākramat,took shelter
puṇya,piety
cikīrṣayā,desiring so
urvyām,of high grade
adhiṣṭhitaḥ,situated
yāni,all those
sahasra,thousands
mūrtiḥ,forms.
pureṣu,"holy places like Ayodhyā, Dvārakā and Mathurā"
puṇya,piety
upavana,the groves
adri,hill
kuñjeṣu,in the orchards
apaṅka,without sin
toyeṣu,in the water
sarit,river
saraḥsu,lakes
ananta-liṅgaiḥ,the forms of the Unlimited
samalaṅkṛteṣu,being so decorated
cacāra,executed
tīrtha,places of pilgrimage
āyataneṣu,holy lands
ananyaḥ,alone or seeing Kṛṣṇa alone.
gām,earth
paryaṭan,traversing
medhya,pure
vivikta-vṛttiḥ,independent occupation for living
sadā,always
āplutaḥ,sanctified
adhaḥ,on the earth
śayanaḥ,lying
avadhūtaḥ,"without dressing (of the hair, etc.)"
alakṣitaḥ,without being seen
svaiḥ,by his relatives
avadhūta-veṣaḥ,dressed like a mendicant
vratāni,vows
cere,performed
hari-toṣaṇāni,that pleased the Lord.
ittham,like this
vrajan,while traveling
bhāratam,India
eva,only
varṣam,the tract of land
kālena,in due course of time
yāvat,when
gatavān,visited
prabhāsam,the Prabhāsa pilgrimage site
tāvat,at that time
śaśāsa,ruled
kṣitim,the world
eka-cakrām,by one military force
eka,one
ātapatrām,flag
ajitena,by the mercy of the unconquerable Kṛṣṇa
pārthaḥ,Mahārāja Yudhiṣṭhira.
tatra,there
atha,thereafter
śuśrāva,heard
suhṛt,kinsmen
vinaṣṭim,all dead
vanam,forest
yathā,as much as
veṇuja-vahni,fire due to the bamboos
saṁśrayam,friction with one another
saṁspardhayā,by violent passion
dagdham,burnt
atha,thus
anuśocan,grieving
sarasvatīm,the river Sarasvatī
pratyak,westward
iyāya,went
tūṣṇīm,silently.
tasyām,on the bank of the river Sarasvatī
tritasya,the pilgrimage site named Trita
uśanasaḥ,the pilgrimage site named Uśanā
manoḥca,as also of the pilgrimage site named Manu
pṛthoḥ,that of Pṛthu
atha,thereafter
agneḥ,that of Agni
asitasya,that of Asita
vāyoḥ,that of Vāyu
tīrtham,places of pilgrimages
sudāsasya,of the name Sudāsa
gavām,that of Go
guhasya,that of Guha
yat,thereupon
śrāddhadevasya,of the name Śrāddhadeva
saḥ,Vidura
āsiṣeve,duly visited and performed the rituals.
anyāni,others
ca,also
iha,here
dvija-deva,by the great sages
devaiḥ,and the demigods
kṛtāni,established by
nānā,various
āyatanāni,various forms
viṣṇoḥ,of the Supreme Personality of Godhead
prati,each and every
aṅga,part
mukhya,the chief
aṅkita,marked
mandirāṇi,temples
yat,which
darśanāt,by seeing from a distance
kṛṣṇam,the original Personality of Godhead
anusmaranti,constantly remembers.
tataḥ,from there
tu,but
ativrajya,by passing over
surāṣṭram,the kingdom of Surat
ṛddham,very wealthy
sauvīra,the kingdom of Sauvīra
matsyān,the kingdom of Matsya
kurujāṅgalān,the kingdom of western India up to the Delhi province
ca,also
kālena,in course of time
tāvat,as soon as
yamunām,bank of the river Yamunā
upetya,reaching
tatra,there
uddhavam,"Uddhava, one of the prominent Yadus"
bhāgavatam,the great devotee of Lord Kṛṣṇa
dadarśa,happened to see.
saḥ,"he, Vidura"
vāsudeva,Lord Kṛṣṇa
anucaram,constant companion
praśāntam,very sober and gentle
bṛhaspateḥ,"of Bṛhaspati, the learned spiritual master of the demigods"
prāk,formerly
tanayam,son or disciple
pratītam,acknowledged
āliṅgya,embracing
gāḍham,very feelingly
praṇayena,in love
bhadram,auspicious
svānām,his own
apṛcchat,asked
bhagavat,of the Personality of Godhead
prajānām,family.
kaccit,whether
purāṇau,the original
puruṣau,Personalities of Godhead (Kṛṣṇa and Balarāma)
svanābhya,Brahmā
pādma-anuvṛttyā,by the request of the one who is born from the lotus
iha,here
kila,certainly
avatīrṇau,incarnated
āsāte,are
urvyāḥ,in the world
kuśalam,well-being
vidhāya,for doing so
kṛta-kṣaṇau,the elevators of everyone’s prosperity
kuśalam,all well
śūra-gehe,in the house of Śūrasena.
kaccit,whether
kurūṇām,of the Kurus
paramaḥ,greatest
suhṛt,well-wisher
naḥ,our
bhāmaḥ,brother-in-law
saḥ,he
āste,is
sukham,happy
aṅga,O Uddhava
śauriḥ,Vasudeva
yaḥ,one who
vai,certainly
svasṝṇām,of the sisters
pitṛ-vat,like a father
dadāti,gives
varān,everything desirable
vadānyaḥ,munificent
vara,wife
tarpaṇena,by pleasing.
kaccit,whether
varūtha,of the military
adhipatiḥ,commander in chief
yadūnām,of the Yadus
pradyumnaḥ,the son of Kṛṣṇa named Pradyumna
āste,is
sukham,happy
aṅga,O Uddhava
vīraḥ,the great warrior
yam,whom
rukmiṇī,the wife of Kṛṣṇa named Rukmiṇī
bhagavataḥ,from the Personality of Godhead
abhilebhe,got as a prize
ārādhya,pleasing
viprān,brāhmaṇas
smaram,Cupid (Kāmadeva)
ādi-sarge,in his previous life.
kaccit,whether
sukham,is all well
sātvata,the Sātvata race
vṛṣṇi,the Vṛṣṇi dynasty
bhoja,the Bhoja dynasty
dāśārhakāṇām,the Dāśārha race
adhipaḥ,King Ugrasena
saḥ,he
āste,does exist
yam,whom
abhyaṣiñcat,installed
śata-patra-netraḥ,Lord Śrī Kṛṣṇa
nṛpa-āsana-āśām,hope of the royal throne
parihṛtya,giving up
dūrāt,at a distant place.
kaccit,whether
hareḥ,of the Personality of Godhead
saumya,O grave one
sutaḥ,son
sadṛkṣaḥ,similar
āste,fares well
agraṇīḥ,foremost
rathinām,of the warriors
sādhu,well-behaved
sāmbaḥ,Sāmba
asūta,gave birth
yam,whom
jāmbavatī,"Jāmbavatī, a queen of Lord Kṛṣṇa’s"
vratāḍhyā,enriched by vows
devam,the demigod
guham,of the name Kārttikeya
yaḥ,whom
ambikayā,unto the wife of Śiva
dhṛtaḥ,born
agre,in the previous birth.
kṣemam,all good
saḥ,he
kaccit,whether
yuyudhānaḥ,Sātyaki
āste,is there
yaḥ,one who
phālgunāt,from Arjuna
labdha,has achieved
dhanuḥ-rahasyaḥ,one who understands the intricacies of military art
lebhe,also achieved
añjasā,easily
adhokṣaja,of the Transcendence
sevayā,by service
eva,certainly
gatim,destination
tadīyām,transcendental
yatibhiḥ,by great renouncers
durāpām,very difficult to achieve.
kaccit,whether
budhaḥ,very learned
svasti,well
anamīvaḥ,faultless
āste,does exist
śvaphalka-putraḥ,"the son of Śvaphalka, Akrūra"
bhagavat,regarding the Personality of Godhead
prapannaḥ,surrendered
yaḥ,one who
kṛṣṇa,the Lord
pāda-aṅkita,marked with footprints
mārga,path
pāṁsuṣu,in the dust
aceṣṭata,rolled about
prema-vibhinna,lost in transcendental love
dhairyaḥ,mental equilibrium.
kaccit,whether
śivam,everything well
devaka-bhoja-putryāḥ,of the daughter of King Devaka-bhoja
viṣṇu-prajāyāḥ,of she who gave birth to the Personality of Godhead
iva,like that of
deva-mātuḥ,of the mother of the demigods (Aditi)
yā,one who
vai,indeed
sva-garbheṇa,by her own womb
dadhāra,conceived
devam,the Supreme Lord
trayī,theVedas
yathā,as much as
yajña-vitānam,of spreading the sacrifice
artham,purpose.
api,as also
svit,whether
āste,does He
bhagavān,the Personality of Godhead
sukham,all happiness
vaḥ,of you
yaḥ,one who
sātvatām,of the devotees
kāma-dughaḥ,source of all desires
aniruddhaḥ,the plenary expansion Aniruddha
yam,whom
āmananti,they accept
sma,from yore
hi,certainly
śabda-yonim,the cause of theṚg Veda
manaḥ-mayam,creator of the mind
sattva,transcendental
turīya,the fourth expansion
tattvam,principle.
api,as also
svit,whether
anye,others
ca,and
nija-ātma,of one’s own self
daivam,Śrī Kṛṣṇa
ananya,absolutely
vṛttyā,faith
samanuvratāḥ,followers
ye,all those who
hṛdīka,Hṛdīka
satya-ātmaja,the son of Satyabhāmā
cārudeṣṇa,Cārudeṣṇa
gada,Gada
ādayaḥ,and others
svasti,all well
caranti,pass time
saumya,O sober one.
api,as also
sva-dorbhyām,own arms
vijaya,Arjuna
acyutā-bhyām,along with Śrī Kṛṣṇa
dharmeṇa,on religious principles
dharmaḥ,King Yudhiṣṭhira
paripāti,maintains
setum,the respect of religion
duryodhanaḥ,Duryodhana
atapyata,envied
yat,whose
sabhāyām,royal assembly
sāmrājya,imperial
lakṣmyā,opulence
vijaya-anuvṛttyā,by the service of Arjuna.
kim,whether
vā,either
kṛta,performed
agheṣu,unto the sinners
agham,anger
ati-amarṣī,unconquerable
bhīmaḥ,Bhīma
ahi-vat,like a cobra
dīrgha-tamam,long-cherished
vyamuñcat,has released
yasya,whose
aṅghri-pātam,putting on the steps
raṇa-bhūḥ,the field of battle
na,could not
sehe,tolerate
mārgam,the path
gadāyāḥ,by the clubs
carataḥ,playing
vicitram,wonderful.
kaccit,whether
yaśaḥ-dhā,famous
ratha-yūthapānām,amongst the great chariot warriors
gāṇḍīva,Gāṇḍīva
dhanvā,bow
uparata-ariḥ,one who has vanquished the enemies
āste,doing well
alakṣitaḥ,without being identified
yat,whose
śara-kūṭa-gūḍhaḥ,being covered by arrows
māyā-kirātaḥ,false hunter
giriśaḥ,Lord Śiva
tutoṣa,was satisfied.
yamau,twins (Nakula and Sahadeva)
utasvit,whether
tanayau,sons
pṛthāyāḥ,of Pṛthā
pārthaiḥ,by the sons of Pṛthā
vṛtau,protected
pakṣmabhiḥ,by the shields
akṣiṇī,of the eyes
iva,like
remāte,playing carelessly
uddāya,snatching
mṛdhe,in the fight
sva-riktham,own property
parāt,from the enemy Duryodhana
suparṇau,"Garuḍa, the carrier of Lord Viṣṇu"
iva,like
vajri-vaktrāt,from the mouth of Indra.
