Word,Synonym
ulbena,by the womb
āvṛtaḥ,is covered
garbhaḥ,embryo
tathā,so
tena,by that lust
idam,this
āvṛtam,is covered.
āvṛtam,covered
jñānam,pure consciousness
etena,by this
jñāninaḥ,of the knower
nitya-vairiṇā,by the eternal enemy
kāma-rūpeṇa,in the form of lust
kaunteya,O son of Kuntī
duṣpūreṇa,never to be satisfied
analena,by the fire
ca,also.
indriyāṇi,the senses
manaḥ,the mind
buddhiḥ,the intelligence
asya,of this lust
adhiṣṭhānam,sitting place
ucyate,is called
etaiḥ,by all these
vimohayati,bewilders
eṣaḥ,this lust
jñānam,knowledge
āvṛtya,covering
dehinam,of the embodied.
tasmāt,therefore
tvam,you
indriyāṇi,senses
ādau,in the beginning
niyamya,by regulating
bharata-ṛṣabha,O chief amongst the descendants of Bharata
pāpmānam,the great symbol of sin
prajahi,curb
hi,certainly
enam,this
jñāna,of knowledge
vijñāna,and scientific knowledge of the pure soul
nāśanam,the destroyer.
indriyāṇi,senses
parāṇi,superior
āhuḥ,are said
indriyebhyaḥ,more than the senses
param,superior
manaḥ,the mind
manasaḥ,more than the mind
tu,also
parā,superior
buddhiḥ,intelligence
yaḥ,who
buddheḥ,more than the intelligence
parataḥ,superior
tu,but
saḥ,he.
evam,thus
buddheḥ,to intelligence
param,superior
buddhvā,knowing
saṁstabhya,by steadying
ātmānam,the mind
ātmanā,by deliberate intelligence
jahi,conquer
śatrum,the enemy
mahā-bāho,O mighty-armed one
kāma-rūpam,in the form of lust
durāsadam,formidable.
śrī-bhagavānuvāca,the Supreme Personality of Godhead said
imam,this
vivasvate,unto the sun-god
yogam,the science of one’s relationship to the Supreme
proktavān,instructed
aham,I
avyayam,imperishable
vivasvān,Vivasvān (the sun-god’s name)
manave,unto the father of mankind (of the name Vaivasvata)
prāha,told
manuḥ,the father of mankind
ikṣvākave,unto King Ikṣvāku
abravīt,said.
evam,thus
paramparā,by disciplic succession
prāptam,received
imam,this science
rāja-ṛṣayaḥ,the saintly kings
viduḥ,understood
saḥ,that knowledge
kālena,in the course of time
iha,in this world
mahatā,great
yogaḥ,the science of one’s relationship with the Supreme
naṣṭaḥ,scattered
param-tapa,"O Arjuna, subduer of the enemies."
saḥ,the same
eva,certainly
ayam,this
mayā,by Me
te,unto you
adya,today
yogaḥ,the science ofyoga
proktaḥ,spoken
purātanaḥ,very old
bhaktaḥ,devotee
asi,you are
me,My
sakhā,friend
ca,also
iti,therefore
rahasyam,mystery
hi,certainly
etat,this
uttamam,transcendental.
arjunaḥuvāca,Arjuna said
aparam,junior
bhavataḥ,Your
janma,birth
param,superior
janma,birth
vivasvataḥ,of the sun-god
katham,how
etat,this
vijānīyām,shall I understand
tvam,You
ādau,in the beginning
proktavān,instructed
iti,thus.
śrī-bhagavānuvāca,the Personality of Godhead said
bahūni,many
me,of Mine
vyatītāni,have passed
janmāni,births
tava,of yours
ca,and also
arjuna,O Arjuna
tāni,those
aham,I
veda,do know
sarvāṇi,all
na,not
tvam,you
vettha,know
param-tapa,O subduer of the enemy.
ajaḥ,unborn
api,although
san,being so
avyaya,without deterioration
ātmā,body
bhūtānām,of all those who are born
īśvaraḥ,the Supreme Lord
api,although
san,being so
prakṛtim,in the transcendental form
svām,of Myself
adhiṣṭhāya,being so situated
sambhavāmi,I do incarnate
ātma-māyayā,by My internal energy.
yadāyadā,whenever and wherever
hi,certainly
dharmasya,of religion
glāniḥ,discrepancies
bhavati,become manifested
bhārata,O descendant of Bharata
abhyutthānam,predominance
adharmasya,of irreligion
tadā,at that time
ātmānam,self
sṛjāmi,manifest
aham,I.
paritrāṇāya,for the deliverance
sādhūnām,of the devotees
vināśāya,for the annihilation
ca,and
duṣkṛtām,of the miscreants
dharma,principles of religion
saṁsthāpana-arthāya,to reestablish
sambhavāmi,I do appear
yuge,millennium
yuge,after millennium.
janma,birth
karma,work
ca,also
me,of Mine
divyam,transcendental
evam,like this
yaḥ,anyone who
vetti,knows
tattvataḥ,in reality
tyaktvā,leaving aside
deham,this body
punaḥ,again
janma,birth
na,never
eti,does attain
mām,unto Me
eti,does attain
saḥ,he
arjuna,O Arjuna.
vīta,freed from
rāga,attachment
bhaya,fear
krodhāḥ,and anger
mat-mayāḥ,fully in Me
mām,in Me
upāśritāḥ,being fully situated
bahavaḥ,many
jñāna,of knowledge
tapasā,by the penance
pūtāḥ,being purified
mat-bhāvam,transcendental love for Me
āgatāḥ,attained.
ye,all who
yathā,as
mām,unto Me
prapadyante,surrender
tān,them
tathā,so
eva,certainly
bhajāmi,reward
aham,I
mama,My
vartma,path
anuvartante,follow
manuṣyāḥ,all men
pārtha,O son of Pṛthā
sarvaśaḥ,in all respects.
kāṅkṣantaḥ,desiring
karmaṇām,of fruitive activities
siddhim,perfection
yajante,they worship by sacrifices
iha,in the material world
devatāḥ,the demigods
kṣipram,very quickly
hi,certainly
mānuṣe,in human society
loke,within this world
siddhiḥ,success
bhavati,comes
karma-jā,from fruitive work.
cātuḥ-varṇyam,the four divisions of human society
mayā,by Me
sṛṣṭam,created
guṇa,of quality
karma,and work
vibhāgaśaḥ,in terms of division
tasya,of that
kartāram,the father
api,although
mām,Me
viddhi,you may know
akartāram,as the nondoer
avyayam,unchangeable.
na,never
mām,Me
karmāṇi,all kinds of work
limpanti,do affect
na,nor
me,My
karma-phale,in fruitive action
spṛhā,aspiration
iti,thus
mām,Me
yaḥ,one who
abhijānāti,does know
karmabhiḥ,by the reaction of such work
na,never
saḥ,he
badhyate,becomes entangled.
evam,thus
jñātvā,knowing well
kṛtam,was performed
karma,work
pūrvaiḥ,by past authorities
api,indeed
mumukṣubhiḥ,who attained liberation
kuru,just perform
karma,prescribed duty
eva,certainly
tasmāt,therefore
tvam,you
pūrvaiḥ,by the predecessors
pūrva-taram,in ancient times
kṛtam,as performed.
kim,what is
karma,action
kim,what is
akarma,inaction
iti,thus
kavayaḥ,the intelligent
api,also
atra,in this matter
mohitāḥ,are bewildered
tat,that
te,unto you
karma,work
pravakṣyāmi,I shall explain
yat,which
jñātvā,knowing
mokṣyase,you will be liberated
aśubhāt,from ill fortune.
karmaṇaḥ,of work
hi,certainly
api,also
boddhavyam,should be understood
boddhavyam,should be understood
ca,also
vikarmaṇaḥ,of forbidden work
akarmaṇaḥ,of inaction
ca,also
boddhavyam,should be understood
gahanā,very difficult
karmaṇaḥ,of work
gatiḥ,entrance.
karmaṇi,in action
akarma,inaction
yaḥ,one who
paśyet,observes
akarmaṇi,in inaction
ca,also
karma,fruitive action
yaḥ,one who
saḥ,he
buddhi-mān,is intelligent
manuṣyeṣu,in human society
saḥ,he
yuktaḥ,is in the transcendental position
kṛtsna-karma-kṛt,although engaged in all activities.
yasya,one whose
sarve,all sorts of
samārambhāḥ,attempts
kāma,based on desire for sense gratification
saṅkalpa,determination
varjitāḥ,are devoid of
jñāna,of perfect knowledge
agni,by the fire
dagdha,burned
karmāṇam,whose work
tam,him
āhuḥ,declare
paṇḍitam,learned
budhāḥ,those who know.
tyaktvā,having given up
karma-phala-āsaṅgam,attachment for fruitive results
nitya,always
tṛptaḥ,being satisfied
nirāśrayaḥ,without any shelter
karmaṇi,in activity
abhipravṛttaḥ,being fully engaged
api,in spite of
na,does not
eva,certainly
kiñcit,anything
karoti,do
saḥ,he.
nirāśīḥ,without desire for the result
yata,controlled
citta-ātmā,mind and intelligence
tyakta,giving up
sarva,all
parigrahaḥ,sense of proprietorship over possessions
śārīram,in keeping body and soul together
kevalam,only
karma,work
kurvan,doing
na,never
āpnoti,does acquire
kilbiṣam,sinful reactions.
yadṛcchā,out of its own accord
lābha,with gain
santuṣṭaḥ,satisfied
dvandva,duality
atītaḥ,surpassed
vimatsaraḥ,free from envy
samaḥ,steady
siddhau,in success
asiddhau,failure
ca,also
kṛtvā,doing
api,although
na,never
nibadhyate,becomes affected.
gata-saṅgasya,of one unattached to the modes of material nature
muktasya,of the liberated
jñāna-avasthita,situated in transcendence
cetasaḥ,whose wisdom
yajñāya,for the sake of Yajña (Kṛṣṇa)
ācarataḥ,acting
karma,work
samagram,in total
pravilīyate,merges entirely.
brahma,spiritual in nature
arpaṇam,contribution
brahma,the Supreme
haviḥ,butter
brahma,spiritual
agnau,in the fire of consummation
brahmaṇā,by the spirit soul
hutam,offered
brahma,spiritual kingdom
eva,certainly
tena,by him
gantavyam,to be reached
brahma,spiritual
karma,in activities
samādhinā,by complete absorption.
daivam,in worshiping the demigods
eva,like this
apare,some others
yajñam,sacrifices
yoginaḥ,mystics
paryupāsate,worship perfectly
brahma,of the Absolute Truth
agnau,in the fire
apare,others
yajñam,sacrifice
yajñena,by sacrifice
eva,thus
upajuhvati,offer.
śrotra-ādīni,such as the hearing process
indriyāṇi,senses
anye,others
saṁyama,of restraint
agniṣu,in the fires
juhvati,offer
śabda-ādīn,"sound vibration, etc."
viṣayān,objects of sense gratification
anye,others
indriya,of the sense organs
agniṣu,in the fires
juhvati,they sacrifice.
sarvāṇi,of all
indriya,the senses
karmāṇi,functions
prāṇa-karmāṇi,functions of the life breath
ca,also
apare,others
ātma-saṁyama,of controlling the mind
yoga,the linking process
agnau,in the fire of
juhvati,offer
jñāna-dīpite,because of the urge for self-realization.
dravya-yajñāḥ,sacrificing one’s possessions
tapaḥ-yajñāḥ,sacrifice in austerities
yoga-yajñāḥ,sacrifice in eightfold mysticism
tathā,thus
apare,others
svādhyāya,sacrifice in the study of theVedas
jñāna-yajñāḥ,sacrifice in advancement of transcendental knowledge
ca,also
yatayaḥ,enlightened persons
saṁśita-vratāḥ,taken to strict vows.
apāne,in the air which acts downward
juhvati,offer
prāṇam,the air which acts outward
prāṇe,in the air going outward
apānam,the air going downward
tathā,as also
apare,others
prāṇa,of the air going outward
apāna,and the air going downward
gatī,the movement
ruddhvā,checking
prāṇa-āyāma,trance induced by stopping all breathing
parāyaṇāḥ,so inclined
apare,others
niyata,having controlled
āhārāḥ,eating
prāṇān,the outgoing air
prāṇeṣu,in the outgoing air
juhvati,sacrifice.
sarve,all
api,although apparently different
ete,these
yajña-vidaḥ,conversant with the purpose of performing sacrifices
yajña-kṣapita,being cleansed as the result of such performances
kalmaṣāḥ,of sinful reactions
yajña-śiṣṭa,of the result of such performances ofyajña
amṛta-bhujaḥ,those who have tasted such nectar
yānti,do approach
brahma,the supreme
sanātanam,eternal atmosphere.
na,never
ayam,this
lokaḥ,planet
asti,there is
ayajñasya,for one who performs no sacrifice
kutaḥ,where is
anyaḥ,the other
kuru-sat-tama,O best amongst the Kurus.
evam,thus
bahu-vidhāḥ,various kinds of
yajñāḥ,sacrifices
vitatāḥ,are spread
brahmaṇaḥ,of theVedas
mukhe,through the mouth
karma-jān,born of work
viddhi,you should know
tān,them
sarvān,all
evam,thus
jñātvā,knowing
vimokṣyase,you will be liberated.
śreyān,greater
dravya-mayāt,of material possessions
yajñāt,than the sacrifice
jñāna-yajñaḥ,sacrifice in knowledge
param-tapa,O chastiser of the enemy
sarvam,all
karma,activities
akhilam,in totality
pārtha,O son of Pṛthā
jñāne,in knowledge
parisamāpyate,end.
tat,that knowledge of different sacrifices
viddhi,try to understand
praṇipātena,by approaching a spiritual master
paripraśnena,by submissive inquiries
sevayā,by the rendering of service
upadekṣyanti,they will initiate
te,you
jñānam,into knowledge
jñāninaḥ,the self-realized
tattva,of the truth
darśinaḥ,seers.
yat,which
jñātvā,knowing
na,never
punaḥ,again
moham,to illusion
evam,like this
yāsyasi,you shall go
pāṇḍava,O son of Pāṇḍu
yena,by which
bhūtāni,living entities
aśeṣāṇi,all
drakṣyasi,you will see
ātmani,in the Supreme Soul
athau,or in other words
mayi,in Me.
api,even
cet,if
asi,you are
pāpebhyaḥ,of sinners
sarvebhyaḥ,of all
pāpa-kṛt-tamaḥ,the greatest sinner
sarvam,all such sinful reactions
jñāna-plavena,by the boat of transcendental knowledge
eva,certainly
vṛjinam,the ocean of miseries
santariṣyasi,you will cross completely.
yathā,just as
edhāṁsi,firewood
samiddhaḥ,blazing
agniḥ,fire
bhasma-sāt,ashes
kurute,turns
arjuna,O Arjuna
jñāna-agniḥ,the fire of knowledge
sarva-karmāṇi,all reactions to material activities
bhasma-sāt,to ashes
kurute,it turns
tathā,similarly.
na,nothing
hi,certainly
jñānena,with knowledge
sadṛśam,in comparison
pavitram,sanctified
iha,in this world
vidyate,exists
tat,that
svayam,himself
yoga,in devotion
saṁsiddhaḥ,he who is mature
kālena,in course of time
ātmani,in himself
vindati,enjoys.
śraddhā-vān,a faithful man
labhate,achieves
jñānam,knowledge
tat-paraḥ,very much attached to it
saṁyata,controlled
indriyaḥ,senses
jñānam,knowledge
labdhvā,having achieved
parām,transcendental
śāntim,peace
acireṇa,very soon
adhigacchati,attains.
ajñaḥ,a fool who has no knowledge in standard scriptures
ca,and
aśraddadhānaḥ,without faith in revealed scriptures
ca,also
saṁśaya,of doubts
ātmā,a person
vinaśyati,falls back
na,never
ayam,in this
lokaḥ,world
asti,there is
na,nor
paraḥ,in the next life
na,not
sukham,happiness
saṁśaya,doubtful
ātmanaḥ,of the person.
yoga,by devotional service inkarma-yoga
sannyasta,one who has renounced
karmāṇam,the fruits of actions
jñāna,by knowledge
sañchinna,cut
saṁśayam,doubts
ātma-vantam,situated in the self
na,never
karmāṇi,works
nibadhnanti,do bind
dhanam-jaya,O conqueror of riches.
tasmāt,therefore
ajñāna-sambhūtam,born of ignorance
hṛt-stham,situated in the heart
jñāna,of knowledge
asinā,by the weapon
ātmanaḥ,of the self
chittvā,cutting off
enam,this
saṁśayam,doubt
yogam,inyoga
ātiṣṭha,be situated
uttiṣṭha,stand up to fight
bhārata,O descendant of Bharata.
arjunaḥuvāca,Arjuna said
sannyāsam,renunciation
karmaṇām,of all activities
kṛṣṇa,O Kṛṣṇa
punaḥ,again
yogam,devotional service
ca,also
śaṁsasi,You are praising
yat,which
śreyaḥ,is more beneficial
etayoḥ,of these two
ekam,one
tat,that
me,unto me
brūhi,please tell
su-niścitam,definitely.
śrī-bhagavānuvāca,the Personality of Godhead said
sannyāsaḥ,renunciation of work
karma-yogaḥ,work in devotion
ca,also
niḥśreyasa-karau,leading to the path of liberation
ubhau,both
tayoḥ,of the two
tu,but
karma-sannyāsāt,in comparison to the renunciation of fruitive work
karma-yogaḥ,work in devotion
viśiṣyate,is better.
jñeyaḥ,should be known
saḥ,he
nitya,always
sannyāsī,renouncer
yaḥ,who
na,never
dveṣṭi,abhors
na,nor
kāṅkṣati,desires
nirdvandvaḥ,free from all dualities
hi,certainly
mahā-bāho,O mighty-armed one
sukham,happily
bandhāt,from bondage
pramucyate,is completely liberated.
sāṅkhya,analytical study of the material world
yogau,work in devotional service
pṛthak,different
bālāḥ,the less intelligent
pravadanti,say
na,never
paṇḍitāḥ,the learned
ekam,in one
api,even
āsthitaḥ,being situated
samyak,complete
ubhayoḥ,of both
vindate,enjoys
phalam,the result.
yat,what
sāṅkhyaiḥ,by means of Sāṅkhya philosophy
prāpyate,is achieved
sthānam,place
tat,that
yogaiḥ,by devotional service
api,also
gamyate,one can attain
ekam,one
sāṅkhyam,analytical study
ca,and
yogam,action in devotion
ca,and
yaḥ,one who
paśyati,sees
saḥ,he
paśyati,actually sees.
sannyāsaḥ,the renounced order of life
tu,but
mahā-bāho,O mighty-armed one
duḥkham,distress
āptum,afflicts one with
ayogataḥ,without devotional service
yoga-yuktaḥ,one engaged in devotional service
muniḥ,a thinker
brahma,the Supreme
nacireṇa,without delay
adhigacchati,attains.
yoga-yuktaḥ,engaged in devotional service
viśuddha-ātmā,a purified soul
vijita-ātmā,self-controlled
jita-indriyaḥ,having conquered the senses
sarva-bhūta,to all living entities
ātma-bhūta-ātmā,compassionate
kurvanapi,although engaged in work
na,never
lipyate,is entangled.
śrī-bhagavānuvāca,the Lord said
anāśritaḥ,without taking shelter
karma-phalam,of the result of work
kāryam,obligatory
karma,work
karoti,performs
yaḥ,one who
saḥ,he
sannyāsī,in the renounced order
ca,also
yogī,mystic
ca,also
na,not
niḥ,without
agniḥ,fire
na,nor
ca,also
akriyaḥ,without duty.
yam,what
sannyāsam,renunciation
iti,thus
prāhuḥ,they say
yogam,linking with the Supreme
tam,that
viddhi,you must know
pāṇḍava,O son of Pāṇḍu
na,never
hi,certainly
asannyasta,without giving up
saṅkalpaḥ,desire for self-satisfaction
yogī,a mystic transcendentalist
bhavati,becomes
kaścana,anyone.
ārurukṣoḥ,who has just begunyoga
muneḥ,of the sage
yogam,the eightfoldyogasystem
karma,work
kāraṇam,the means
ucyate,is said to be
yoga,eightfoldyoga
ārūḍhasya,of one who has attained
tasya,his
eva,certainly
śamaḥ,cessation of all material activities
kāraṇam,the means
ucyate,is said to be.
yadā,when
hi,certainly
na,not
indriya-artheṣu,in sense gratification
na,never
karmasu,in fruitive activities
anuṣajjate,one necessarily engages
sarva-saṅkalpa,of all material desires
sannyāsī,renouncer
yoga-ārūḍhaḥ,elevated inyoga
tadā,at that time
ucyate,is said to be.
uddharet,one must deliver
ātmanā,by the mind
ātmānam,the conditioned soul
na,never
ātmānam,the conditioned soul
avasādayet,put into degradation
ātmā,mind
eva,certainly
hi,indeed
ātmanaḥ,of the conditioned soul
bandhuḥ,friend
ātmā,mind
eva,certainly
ripuḥ,enemy
ātmanaḥ,of the conditioned soul.
bandhuḥ,friend
ātmā,the mind
ātmanaḥ,of the living entity
tasya,of him
yena,by whom
ātmā,the mind
eva,certainly
ātmanā,by the living entity
jitaḥ,conquered
anātmanaḥ,of one who has failed to control the mind
tu,but
śatrutve,because of enmity
varteta,remains
ātmāeva,the very mind
śatru-vat,as an enemy.
jita-ātmanaḥ,of one who has conquered his mind
praśāntasya,who has attained tranquillity by such control over the mind
parama-ātmā,the Supersoul
samāhitaḥ,approached completely
śīta,in cold
uṣṇa,heat
sukha,happiness
duḥkheṣu,and distress
tathā,also
māna,in honor
apamānayoḥ,and dishonor.
jñāna,by acquired knowledge
vijñāna,and realized knowledge
tṛpta,satisfied
ātmā,a living entity
kūṭa-sthaḥ,spiritually situated
vijita-indriyaḥ,sensually controlled
yuktaḥ,competent for self-realization
iti,thus
ucyate,is said
yogī,a mystic
sama,equipoised
loṣṭra,pebbles
aśma,stone
kāñcanaḥ,gold.
su-hṛt,to well-wishers by nature
mitra,benefactors with affection
ari,enemies
udāsīna,neutrals between belligerents
madhya-stha,mediators between belligerents
dveṣya,the envious
bandhuṣu,and the relatives or well-wishers
sādhuṣu,unto the pious
api,as well as
ca,and
pāpeṣu,unto the sinners
sama-buddhiḥ,having equal intelligence
viśiṣyate,is far advanced.
yogī,a transcendentalist
yuñjīta,must concentrate in Kṛṣṇa consciousness
satatam,constantly
ātmānam,"himself (by body, mind and self)"
rahasi,in a secluded place
sthitaḥ,being situated
ekākī,alone
yata-citta-ātmā,always careful in mind
nirāśīḥ,without being attracted by anything else
aparigrahaḥ,free from the feeling of possessiveness.
śrī-bhagavānuvāca,the Supreme Lord said
mayi,to Me
āsakta-manāḥ,mind attached
pārtha,O son of Pṛthā
yogam,self-realization
yuñjan,practicing
mat-āśrayaḥ,in consciousness of Me (Kṛṣṇa consciousness)
asaṁśayam,without doubt
samagram,completely
mām,Me
yathā,how
jñāsyasi,you can know
tat,that
śṛṇu,try to hear.
jñānam,phenomenal knowledge
te,unto you
aham,I
sa,with
vijñānam,numinous knowledge
idam,this
vakṣyāmi,shall explain
aśeṣataḥ,in full
yat,which
jñātvā,knowing
na,not
iha,in this world
bhūyaḥ,further
anyat,anything more
jñātavyam,knowable
avaśiṣyate,remains.
manuṣyāṇām,of men
sahasreṣu,out of many thousands
kaścit,someone
yatati,endeavors
siddhaye,for perfection
yatatām,of those so endeavoring
api,indeed
siddhānām,of those who have achieved perfection
kaścit,someone
mām,Me
vetti,does know
tattvataḥ,in fact.
bhūmiḥ,earth
āpaḥ,water
analaḥ,fire
vāyuḥ,air
kham,ether
manaḥ,mind
buddhiḥ,intelligence
eva,certainly
ca,and
ahaṅkāraḥ,false ego
iti,thus
iyam,all these
me,My
bhinnā,separated
prakṛtiḥ,energies
aṣṭadhā,eightfold.
aparā,inferior
iyam,this
itaḥ,besides this
tu,but
anyām,another
prakṛtim,energy
viddhi,just try to understand
me,My
parām,superior
jīva-bhūtām,comprising the living entities
mahā-bāho,O mighty-armed one
yayā,by whom
idam,this
dhāryate,is utilized or exploited
jagat,the material world.
etat,these two natures
yonīni,whose source of birth
bhūtāni,everything created
sarvāṇi,all
iti,thus
upadhāraya,know
aham,I
kṛtsnasya,all-inclusive
jagataḥ,of the world
prabhavaḥ,the source of manifestation
pralayaḥ,annihilation
tathā,as well as.
mattaḥ,beyond Me
para-taram,superior
na,not
anyatkiñcit,anything else
asti,there is
dhanam-jaya,O conqueror of wealth
mayi,in Me
sarvam,all that be
idam,which we see
protam,is strung
sūtre,on a thread
maṇi-gaṇāḥ,pearls
iva,like.
rasaḥ,taste
aham,I
apsu,in water
kaunteya,O son of Kuntī
prabhā,the light
asmi,I am
śaśi-sūryayoḥ,of the moon and the sun
praṇavaḥ,the three lettersa-u-m
sarva,in all
vedeṣu,theVedas
śabdaḥ,sound vibration
khe,in the ether
pauruṣam,ability
nṛṣu,in men.
puṇyaḥ,original
gandhaḥ,fragrance
pṛthivyām,in the earth
ca,also
tejaḥ,heat
ca,also
asmi,I am
vibhāvasau,in the fire
jīvanam,life
sarva,in all
bhūteṣu,living entities
tapaḥ,penance
ca,also
asmi,I am
tapasviṣu,in those who practice penance.
bījam,the seed
mām,Me
sarva-bhūtānām,of all living entities
viddhi,try to understand
pārtha,O son of Pṛthā
sanātanam,"original, eternal"
buddhiḥ,intelligence
buddhi-matām,of the intelligent
asmi,I am
tejaḥ,prowess
tejasvinām,of the powerful
aham,I am.
balam,strength
bala-vatām,of the strong
ca,and
aham,I am
kāma,passion
rāga,and attachment
vivarjitam,devoid of
dharma-aviruddhaḥ,not against religious principles
bhūteṣu,in all beings
kāmaḥ,sex life
asmi,I am
bharata-ṛṣabha,O lord of the Bhāratas.
ye,all which
ca,and
eva,certainly
sāttvikāḥ,in goodness
bhāvāḥ,states of being
rājasāḥ,in the mode of passion
tāmasāḥ,in the mode of ignorance
ca,also
ye,all which
mattaḥ,from Me
eva,certainly
iti,thus
tān,those
viddhi,try to know
na,not
tu,but
aham,I
teṣu,in them
te,they
mayi,in Me.
tribhiḥ,three
guṇa-mayaiḥ,consisting of theguṇas
bhāvaiḥ,by the states of being
ebhiḥ,all these
sarvam,whole
idam,this
jagat,universe
mohitam,deluded
naabhijānāti,does not know
mām,Me
ebhyaḥ,above these
param,the Supreme
avyayam,inexhaustible.
daivī,transcendental
hi,certainly
eṣā,this
guṇa-mayī,consisting of the three modes of material nature
mama,My
māyā,energy
duratyayā,very difficult to overcome
mām,unto Me
eva,certainly
ye,those who
prapadyante,surrender
māyāmetām,this illusory energy
taranti,overcome
te,they.
na,not
mām,unto Me
duṣkṛtinaḥ,miscreants
mūḍhāḥ,foolish
prapadyante,surrender
nara-adhamāḥ,lowest among mankind
māyayā,by the illusory energy
apahṛta,stolen
jñānāḥ,whose knowledge
āsuram,demonic
bhāvam,nature
āśritāḥ,accepting.
catuḥ-vidhāḥ,four kinds of
bhajante,render services
mām,unto Me
janāḥ,persons
su-kṛtinaḥ,those who are pious
arjuna,O Arjuna
ārtaḥ,the distressed
jijñāsuḥ,the inquisitive
artha-arthī,one who desires material gain
jñānī,one who knows things as they are
ca,also
bharata-ṛṣabha,O great one amongst the descendants of Bharata.
teṣām,out of them
jñānī,one in full knowledge
nitya-yuktaḥ,always engaged
eka,only
bhaktiḥ,in devotional service
viśiṣyate,is special
priyaḥ,very dear
hi,certainly
jñāninaḥ,to the person in knowledge
atyartham,highly
aham,I am
saḥ,he
ca,also
mama,to Me
priyaḥ,dear.
udārāḥ,magnanimous
sarve,all
eva,certainly
ete,these
jñānī,one who is in knowledge
tu,but
ātmāeva,just like Myself
me,My
matam,opinion
āsthitaḥ,situated
saḥ,he
hi,certainly
yukta-ātmā,engaged in devotional service
mām,in Me
eva,certainly
anuttamām,the highest
gatim,destination.
bahūnām,many
janmanām,repeated births and deaths
ante,after
jñāna-vān,one who is in full knowledge
mām,unto Me
prapadyate,surrenders
vāsudevaḥ,"the Personality of Godhead, Kṛṣṇa"
sarvam,everything
iti,thus
saḥ,that
mahā-ātmā,great soul
su-durlabhaḥ,very rare to see.
kāmaiḥ,by desires
taiḥtaiḥ,various
hṛta,deprived of
jñānāḥ,knowledge
prapadyante,surrender
anya,to other
devatāḥ,demigods
tamtam,corresponding
niyamam,regulations
āsthāya,following
prakṛtyā,by nature
niyatāḥ,controlled
svayā,by their own.
yaḥyaḥ,whoever
yāmyām,whichever
tanum,form of a demigod
bhaktaḥ,devotee
śraddhayā,with faith
arcitum,to worship
icchati,desires
tasyatasya,to him
acalām,steady
śraddhām,faith
tām,that
eva,surely
vidadhāmi,give
aham,I.
saḥ,he
tayā,with that
śraddhayā,inspiration
yuktaḥ,endowed
tasya,of that demigod
ārādhanam,for the worship
īhate,he aspires
labhate,obtains
ca,and
tataḥ,from that
kāmān,his desires
mayā,by Me
eva,alone
vihitān,arranged
hi,certainly
tān,those.
anta-vat,perishable
tu,but
phalam,fruit
teṣām,their
tat,that
bhavati,becomes
alpa-medhasām,of those of small intelligence
devān,to the demigods
deva-yajaḥ,the worshipers of the demigods
yānti,go
mat,My
bhaktāḥ,devotees
yānti,go
mām,to Me
api,also.
avyaktam,nonmanifested
vyaktim,personality
āpannam,achieved
manyante,think
mām,Me
abuddhayaḥ,less intelligent persons
param,supreme
bhāvam,existence
ajānantaḥ,without knowing
mama,My
avyayam,imperishable
anuttamam,the finest.
na,nor
aham,I
prakāśaḥ,manifest
sarvasya,to everyone
yoga-māyā,by internal potency
samāvṛtaḥ,covered
mūḍhaḥ,foolish
ayam,these
na,not
abhijānāti,can understand
lokaḥ,persons
mām,Me
ajam,unborn
avyayam,inexhaustible.
veda,know
aham,I
samatītāni,completely past
vartamānāni,present
ca,and
arjuna,O Arjuna
bhaviṣyāṇi,future
ca,also
bhūtāni,all living entities
mām,Me
tu,but
veda,knows
na,not
kaścana,anyone.
icchā,desire
dveṣa,and hate
samutthena,arisen from
dvandva,of duality
mohena,by the illusion
bhārata,O scion of Bharata
sarva,all
bhūtāni,living entities
sammoham,into delusion
sarge,while taking birth
yānti,go
param-tapa,O conqueror of enemies.
yeṣām,whose
tu,but
anta-gatam,completely eradicated
pāpam,sin
janānām,of the persons
puṇya,pious
karmaṇām,whose previous activities
te,they
dvandva,of duality
moha,delusion
nirmuktāḥ,free from
bhajante,engage in devotional service
mām,to Me
dṛḍha-vratāḥ,with determination.
jarā,from old age
maraṇa,and death
mokṣāya,for the purpose of liberation
mām,Me
āśritya,taking shelter of
yatanti,endeavor
ye,all those who
te,such persons
brahma,Brahman
tat,actually that
viduḥ,they know
kṛtsnam,everything
adhyātmam,transcendental
karma,activities
ca,also
akhilam,entirely.
sa-adhibhūta,and the governing principle of the material manifestation
adhidaivam,governing all the demigods
mām,Me
sa-adhiyajñam,and governing all sacrifices
ca,also
ye,those who
viduḥ,know
prayāṇa,of death
kāle,at the time
api,even
ca,and
mām,Me
te,they
viduḥ,know
yukta-cetasaḥ,their minds engaged in Me.
arjunaḥuvāca,Arjuna said
kim,what
tat,that
brahma,Brahman
kim,what
adhyātmam,the self
kim,what
karma,fruitive activities
puruṣa-uttama,O Supreme Person
adhibhūtam,the material manifestation
ca,and
kim,what
proktam,is called
adhidaivam,the demigods
kim,what
ucyate,is called.
adhiyajñaḥ,the Lord of sacrifice
katham,how
kaḥ,who
atra,here
dehe,in the body
asmin,this
madhusūdana,O Madhusūdana
prayāṇa-kāle,at the time of death
ca,and
katham,how
jñeyaḥasi,You can be known
niyata-ātmabhiḥ,by the self-controlled.
